¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéĞ÷±êÇ©
cut_result1c5_20180521_math_5,00:00:00,0,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:00:10,1,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:00:20,2,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:00:30,3,sad-±¯ÉË
cut_result1c5_20180521_math_5,00:00:40,4,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:00:50,5,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:01:00,6,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:01:10,7,sad-±¯ÉË
cut_result1c5_20180521_math_5,00:01:20,8,sad-±¯ÉË
cut_result1c5_20180521_math_5,00:01:30,9,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:01:40,10,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:01:50,11,sad-±¯ÉË
cut_result1c5_20180521_math_5,00:02:00,12,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:02:10,13,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:02:20,14,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:02:30,15,sad-±¯ÉË
cut_result1c5_20180521_math_5,00:02:40,16,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:02:50,17,angry-·ßÅ­
cut_result1c5_20180521_math_5,00:03:00,18,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:03:10,19,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:03:20,20,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:03:30,21,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:03:40,22,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:03:50,23,TS-Ê¦Éú»¥¶¯
cut_result1c5_20180521_math_5,00:04:00,24,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:04:10,25,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:04:20,26,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:04:30,27,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:04:40,28,fear-¿Ö¾åµ£ÓÇ
cut_result1c5_20180521_math_5,00:04:50,29,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:05:00,30,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:05:10,31,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:05:20,32,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:05:30,33,disgust-Ñá¶ñÃïÊÓ
cut_result1c5_20180521_math_5,00:05:40,34,fear-¿Ö¾åµ£ÓÇ
cut_result1c5_20180521_math_5,00:05:50,35,Delate-É¾³ıµÄ
cut_result1c5_20180521_math_5,00:06:00,36,TS-Ê¦Éú»¥¶¯
cut_result1c5_20180521_math_5,00:06:10,37,happy-Ï²ÔÃ
cut_result1c5_20180521_math_5,00:06:20,38,fear-¿Ö¾åµ£ÓÇ
