¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéĞ÷±êÇ©
cut_result0181119_j2c2_math_3,00:05:00,30,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:05:10,31,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:05:20,32,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:05:30,33,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:05:40,34,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:05:50,35,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:06:00,36,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:06:10,37,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:06:20,38,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:06:30,39,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:06:40,40,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:06:50,41,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:07:00,42,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:07:10,43,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:07:20,44,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:07:30,45,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:07:40,46,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:07:50,47,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:08:00,48,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:08:10,49,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:08:20,50,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:08:30,51,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:08:40,52,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:08:50,53,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:09:00,54,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:09:10,55,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:09:20,56,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:09:30,57,disgust-Ñá¶ñÃïÊÓ
cut_result0181119_j2c2_math_3,00:09:40,58,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:09:50,59,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:10:00,60,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:10:10,61,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:10:20,62,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:10:30,63,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:10:40,64,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:10:50,65,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:11:00,66,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:11:10,67,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:11:20,68,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:11:30,69,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:11:40,70,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:11:50,71,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:12:00,72,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:12:10,73,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:12:20,74,disgust-Ñá¶ñÃïÊÓ
cut_result0181119_j2c2_math_3,00:12:30,75,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:12:40,76,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:12:50,77,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:13:00,78,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:13:10,79,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:13:20,80,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:13:30,81,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:13:40,82,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:13:50,83,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:14:00,84,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:14:10,85,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:14:20,86,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:14:30,87,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:14:40,88,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:14:50,89,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:15:00,90,TS-Ê¦Éú»¥¶¯
cut_result0181119_j2c2_math_3,00:15:10,91,disgust-Ñá¶ñÃïÊÓ
cut_result0181119_j2c2_math_3,00:15:20,92,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:15:30,93,disgust-Ñá¶ñÃïÊÓ
cut_result0181119_j2c2_math_3,00:15:40,94,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:15:50,95,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:16:00,96,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:16:10,97,TS-Ê¦Éú»¥¶¯
cut_result0181119_j2c2_math_3,00:16:20,98,TS-Ê¦Éú»¥¶¯
cut_result0181119_j2c2_math_3,00:16:30,99,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:16:40,100,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:16:50,101,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:17:00,102,disgust-Ñá¶ñÃïÊÓ
cut_result0181119_j2c2_math_3,00:17:10,103,disgust-Ñá¶ñÃïÊÓ
cut_result0181119_j2c2_math_3,00:17:20,104,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:17:30,105,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:17:40,106,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:17:50,107,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:18:00,108,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:18:10,109,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:18:20,110,TS-Ê¦Éú»¥¶¯
cut_result0181119_j2c2_math_3,00:18:30,111,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:18:40,112,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:18:50,113,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:19:00,114,Delate-É¾³ıµÄ
cut_result0181119_j2c2_math_3,00:19:10,115,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:19:20,116,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:19:30,117,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:19:40,118,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:19:50,119,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:20:00,120,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:20:10,121,happy-Ï²ÔÃ
cut_result0181119_j2c2_math_3,00:20:20,122,surprised-¾ªÑÈ
cut_result0181119_j2c2_math_3,00:20:30,123,angry-·ßÅ­
cut_result0181119_j2c2_math_3,00:20:40,124,happy-Ï²ÔÃ
