¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
cut_result1c2_20180612_math_1,00:00:00,0,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:00:10,1,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:00:20,2,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:00:30,3,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:00:40,4,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:00:50,5,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:01:00,6,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:01:10,7,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:01:20,8,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:01:30,9,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:01:40,10,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:01:50,11,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:02:00,12,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:02:10,13,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:02:20,14,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:02:30,15,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:02:40,16,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:02:50,17,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:03:00,18,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:03:10,19,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:03:20,20,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:03:30,21,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:03:40,22,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:03:50,23,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:04:00,24,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:04:10,25,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180612_math_1,00:04:20,26,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:04:30,27,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:04:40,28,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:04:50,29,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:05:00,30,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:05:10,31,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:05:20,32,surprised-¾ªÑÈ
cut_result1c2_20180612_math_1,00:05:30,33,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:05:40,34,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:05:50,35,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:06:00,36,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:06:10,37,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:06:20,38,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:06:30,39,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:06:40,40,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180612_math_1,00:06:50,41,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:07:00,42,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180612_math_1,00:07:10,43,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:07:20,44,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:07:30,45,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:07:40,46,happy-Ï²ÔÃ
cut_result1c2_20180612_math_1,00:07:50,47,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180612_math_1,00:08:00,48,Delate-É¾³ýµÄ
cut_result1c2_20180612_math_1,00:08:10,49,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180612_math_1,00:08:20,50,Delate-É¾³ýµÄ
cut_result1c2_20180612_math_1,00:08:30,51,Delate-É¾³ýµÄ
cut_result1c2_20180612_math_1,00:08:40,52,angry-·ßÅ­
cut_result1c2_20180612_math_1,00:08:50,53,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180612_math_1,00:09:00,54,Delate-É¾³ýµÄ
cut_result1c2_20180612_math_1,00:09:10,55,Delate-É¾³ýµÄ
cut_result1c2_20180612_math_1,00:09:20,56,Delate-É¾³ýµÄ
cut_result1c2_20180612_math_1,00:09:30,57,surprised-¾ªÑÈ
