¿Î³ÌÃû³Æ,Ê±¼ä,ÊÓÆµ±àºÅ,ÇéÐ÷±êÇ©
cut_result1c2_20180323_math_1,00:00:00,0,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:00:10,1,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:00:20,2,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:00:30,3,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:00:40,4,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:00:50,5,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:01:00,6,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180323_math_1,00:01:10,7,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:01:20,8,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:01:30,9,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:01:40,10,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:01:50,11,surprised-¾ªÑÈ
cut_result1c2_20180323_math_1,00:02:00,12,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:02:10,13,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:02:20,14,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:02:30,15,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:02:40,16,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:02:50,17,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180323_math_1,00:03:00,18,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:03:10,19,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:03:20,20,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:03:30,21,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:03:40,22,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:03:50,23,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:04:00,24,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:04:10,25,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:04:20,26,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:04:30,27,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:04:40,28,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:04:50,29,happy-Ï²ÔÃ
cut_result1c2_20180323_math_1,00:05:00,30,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180323_math_1,00:05:10,31,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:05:20,32,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:05:30,33,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:05:40,34,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:05:50,35,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:06:00,36,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:06:10,37,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:06:20,38,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:06:30,39,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:06:40,40,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180323_math_1,00:06:50,41,TS-Ê¦Éú»¥¶¯
cut_result1c2_20180323_math_1,00:07:00,42,angry-·ßÅ­
cut_result1c2_20180323_math_1,00:07:10,43,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:07:20,44,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:07:30,45,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:07:40,46,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:07:50,47,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:08:00,48,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:08:10,49,Delate-É¾³ýµÄ
cut_result1c2_20180323_math_1,00:08:20,50,Delate-É¾³ýµÄ
