课程名称,时间,视频编号,情绪标签
cut_result0181120_j2c14_math_2,00:15:40,94,TS-师生互动
cut_result0181120_j2c14_math_2,00:15:50,95,happy-喜悦
cut_result0181120_j2c14_math_2,00:16:00,96,TS-师生互动
cut_result0181120_j2c14_math_2,00:16:10,97,TS-师生互动
cut_result0181120_j2c14_math_2,00:16:20,98,TS-师生互动
cut_result0181120_j2c14_math_2,00:16:30,99,happy-喜悦
cut_result0181120_j2c14_math_2,00:16:40,100,happy-喜悦
cut_result0181120_j2c14_math_2,00:16:50,101,fear-恐惧担忧
cut_result0181120_j2c14_math_2,00:17:00,102,TS-师生互动
cut_result0181120_j2c14_math_2,00:17:10,103,TS-师生互动
cut_result0181120_j2c14_math_2,00:17:20,104,happy-喜悦
cut_result0181120_j2c14_math_2,00:17:30,105,happy-喜悦
cut_result0181120_j2c14_math_2,00:17:40,106,surprised-惊讶
cut_result0181120_j2c14_math_2,00:17:50,107,TS-师生互动
cut_result0181120_j2c14_math_2,00:18:00,108,TS-师生互动
cut_result0181120_j2c14_math_2,00:18:10,109,happy-喜悦
cut_result0181120_j2c14_math_2,00:18:20,110,happy-喜悦
cut_result0181120_j2c14_math_2,00:18:30,111,happy-喜悦
cut_result0181120_j2c14_math_2,00:18:40,112,happy-喜悦
cut_result0181120_j2c14_math_2,00:18:50,113,happy-喜悦
cut_result0181120_j2c14_math_2,00:19:00,114,happy-喜悦
cut_result0181120_j2c14_math_2,00:19:10,115,happy-喜悦
cut_result0181120_j2c14_math_2,00:19:20,116,happy-喜悦
cut_result0181120_j2c14_math_2,00:19:30,117,Delate-删除的
cut_result0181120_j2c14_math_2,00:19:40,118,happy-喜悦
cut_result0181120_j2c14_math_2,00:19:50,119,TS-师生互动
cut_result0181120_j2c14_math_2,00:20:00,120,happy-喜悦
cut_result0181120_j2c14_math_2,00:20:10,121,happy-喜悦
cut_result0181120_j2c14_math_2,00:20:20,122,happy-喜悦
cut_result0181120_j2c14_math_2,00:20:30,123,Delate-删除的
cut_result0181120_j2c14_math_2,00:20:40,124,Delate-删除的
cut_result0181120_j2c14_math_2,00:20:50,125,happy-喜悦
cut_result0181120_j2c14_math_2,00:21:00,126,happy-喜悦
cut_result0181120_j2c14_math_2,00:21:10,127,happy-喜悦
cut_result0181120_j2c14_math_2,00:21:20,128,happy-喜悦
cut_result0181120_j2c14_math_2,00:21:30,129,happy-喜悦
cut_result0181120_j2c14_math_2,00:21:40,130,happy-喜悦
cut_result0181120_j2c14_math_2,00:21:50,131,happy-喜悦
cut_result0181120_j2c14_math_2,00:22:00,132,happy-喜悦
cut_result0181120_j2c14_math_2,00:22:10,133,happy-喜悦
cut_result0181120_j2c14_math_2,00:22:20,134,TS-师生互动
cut_result0181120_j2c14_math_2,00:22:30,135,Delate-删除的
cut_result0181120_j2c14_math_2,00:22:40,136,Delate-删除的
cut_result0181120_j2c14_math_2,00:22:50,137,Delate-删除的
cut_result0181120_j2c14_math_2,00:23:00,138,Delate-删除的
cut_result0181120_j2c14_math_2,00:23:10,139,Delate-删除的
cut_result0181120_j2c14_math_2,00:23:20,140,happy-喜悦
cut_result0181120_j2c14_math_2,00:23:30,141,happy-喜悦
cut_result0181120_j2c14_math_2,00:23:40,142,surprised-惊讶
cut_result0181120_j2c14_math_2,00:23:50,143,surprised-惊讶
cut_result0181120_j2c14_math_2,00:24:00,144,TS-师生互动
cut_result0181120_j2c14_math_2,00:24:10,145,happy-喜悦
