课程名称,时间,视频编号,情绪标签
cut_result1c7_20180521_math_5,00:00:00,0,Delate-删除的
cut_result1c7_20180521_math_5,00:00:10,1,Delate-删除的
cut_result1c7_20180521_math_5,00:00:20,2,Delate-删除的
cut_result1c7_20180521_math_5,00:00:30,3,sad-悲伤
cut_result1c7_20180521_math_5,00:00:40,4,disgust-厌恶蔑视
cut_result1c7_20180521_math_5,00:00:50,5,Delate-删除的
cut_result1c7_20180521_math_5,00:01:00,6,Delate-删除的
cut_result1c7_20180521_math_5,00:01:10,7,Delate-删除的
cut_result1c7_20180521_math_5,00:01:20,8,TS-师生互动
cut_result1c7_20180521_math_5,00:01:30,9,Delate-删除的
cut_result1c7_20180521_math_5,00:01:40,10,TS-师生互动
cut_result1c7_20180521_math_5,00:01:50,11,happy-喜悦
cut_result1c7_20180521_math_5,00:02:00,12,TS-师生互动
cut_result1c7_20180521_math_5,00:02:10,13,disgust-厌恶蔑视
cut_result1c7_20180521_math_5,00:02:20,14,TS-师生互动
cut_result1c7_20180521_math_5,00:02:30,15,happy-喜悦
cut_result1c7_20180521_math_5,00:02:40,16,happy-喜悦
cut_result1c7_20180521_math_5,00:02:50,17,TS-师生互动
cut_result1c7_20180521_math_5,00:03:00,18,Delate-删除的
cut_result1c7_20180521_math_5,00:03:10,19,happy-喜悦
cut_result1c7_20180521_math_5,00:03:20,20,happy-喜悦
cut_result1c7_20180521_math_5,00:03:30,21,happy-喜悦
cut_result1c7_20180521_math_5,00:03:40,22,happy-喜悦
cut_result1c7_20180521_math_5,00:03:50,23,happy-喜悦
cut_result1c7_20180521_math_5,00:04:00,24,happy-喜悦
cut_result1c7_20180521_math_5,00:04:10,25,happy-喜悦
cut_result1c7_20180521_math_5,00:04:20,26,TS-师生互动
cut_result1c7_20180521_math_5,00:04:30,27,happy-喜悦
cut_result1c7_20180521_math_5,00:04:40,28,happy-喜悦
cut_result1c7_20180521_math_5,00:04:50,29,surprised-惊讶
cut_result1c7_20180521_math_5,00:05:00,30,happy-喜悦
cut_result1c7_20180521_math_5,00:05:10,31,TS-师生互动
cut_result1c7_20180521_math_5,00:05:20,32,happy-喜悦
cut_result1c7_20180521_math_5,00:05:30,33,happy-喜悦
cut_result1c7_20180521_math_5,00:05:40,34,happy-喜悦
cut_result1c7_20180521_math_5,00:05:50,35,happy-喜悦
cut_result1c7_20180521_math_5,00:06:00,36,happy-喜悦
cut_result1c7_20180521_math_5,00:06:10,37,happy-喜悦
cut_result1c7_20180521_math_5,00:06:20,38,happy-喜悦
cut_result1c7_20180521_math_5,00:06:30,39,happy-喜悦
cut_result1c7_20180521_math_5,00:06:40,40,happy-喜悦
cut_result1c7_20180521_math_5,00:06:50,41,happy-喜悦
cut_result1c7_20180521_math_5,00:07:00,42,happy-喜悦
cut_result1c7_20180521_math_5,00:07:10,43,happy-喜悦
