label,path,time,current_time
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-30.wav,10.0,300.0
disgust-厌恶蔑视,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-31.wav,10.0,310.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-32.wav,10.0,320.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-33.wav,10.0,330.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-34.wav,10.0,340.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-35.wav,10.0,350.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-36.wav,10.0,360.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-37.wav,10.0,370.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-38.wav,10.0,380.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-39.wav,10.0,390.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-40.wav,10.0,400.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-41.wav,10.0,410.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-42.wav,10.0,420.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-43.wav,10.0,430.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-44.wav,10.0,440.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-45.wav,10.0,450.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-46.wav,10.0,460.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-47.wav,10.0,470.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-48.wav,10.0,480.0
fear-恐惧担忧,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-49.wav,10.0,490.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-50.wav,10.0,500.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-51.wav,10.0,510.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-52.wav,10.0,520.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-53.wav,10.0,530.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_resultc5_20180918_math_4\cut_resultc5_20180918_math_4-54.wav,10.0,540.0
