label,path,time,current_time
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-0.wav,10.0,0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-1.wav,10.0,10.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-2.wav,10.0,20.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-3.wav,10.0,30.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-4.wav,10.0,40.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-5.wav,10.0,50.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-6.wav,10.0,60.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-7.wav,10.0,70.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-8.wav,10.0,80.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-9.wav,10.0,90.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-10.wav,10.0,100.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-11.wav,10.0,110.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-12.wav,10.0,120.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-13.wav,10.0,130.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-14.wav,10.0,140.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-15.wav,10.0,150.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-16.wav,10.0,160.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-17.wav,10.0,170.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-18.wav,10.0,180.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-19.wav,10.0,190.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-20.wav,10.0,200.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-21.wav,10.0,210.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-22.wav,10.0,220.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-23.wav,10.0,230.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-24.wav,10.0,240.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-25.wav,10.0,250.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-26.wav,10.0,260.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-27.wav,10.0,270.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-28.wav,10.0,280.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-29.wav,10.0,290.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-30.wav,10.0,300.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-31.wav,10.0,310.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-32.wav,10.0,320.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-33.wav,10.0,330.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-34.wav,10.0,340.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-35.wav,10.0,350.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-36.wav,10.0,360.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-37.wav,10.0,370.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-38.wav,10.0,380.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-39.wav,10.0,390.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-40.wav,10.0,400.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-41.wav,10.0,410.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-42.wav,10.0,420.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-43.wav,10.0,430.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-44.wav,10.0,440.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-45.wav,10.0,450.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-46.wav,10.0,460.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-47.wav,10.0,470.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-48.wav,10.0,480.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-49.wav,10.0,490.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-50.wav,10.0,500.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-51.wav,10.0,510.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-52.wav,10.0,520.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-53.wav,10.0,530.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-54.wav,10.0,540.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-55.wav,10.0,550.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-56.wav,10.0,560.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-57.wav,10.0,570.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-58.wav,10.0,580.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-59.wav,10.0,590.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-60.wav,10.0,600.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-61.wav,10.0,610.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-62.wav,10.0,620.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-63.wav,10.0,630.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-64.wav,10.0,640.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-65.wav,10.0,650.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-66.wav,10.0,660.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-67.wav,10.0,670.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-68.wav,10.0,680.0
angry-愤怒,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-69.wav,10.0,690.0
disgust-厌恶蔑视,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-70.wav,10.0,700.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-71.wav,10.0,710.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-72.wav,10.0,720.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-73.wav,10.0,730.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-74.wav,10.0,740.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-75.wav,10.0,750.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-76.wav,10.0,760.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-77.wav,10.0,770.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-78.wav,10.0,780.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-79.wav,10.0,790.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-80.wav,10.0,800.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-81.wav,10.0,810.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-82.wav,10.0,820.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_5音频\cut_result2c5_20180921_math_2\cut_result2c5_20180921_math_2-83.wav,10.0,830.0
