label,path,time,current_time
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-0.wav,10.0,0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-1.wav,10.0,10.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-2.wav,10.0,20.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-3.wav,10.0,30.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-4.wav,10.0,40.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-5.wav,10.0,50.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-6.wav,10.0,60.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-7.wav,10.0,70.0
surprised-惊讶,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-8.wav,10.0,80.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-9.wav,10.0,90.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-10.wav,10.0,100.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-11.wav,10.0,110.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-12.wav,10.0,120.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-13.wav,10.0,130.0
Delate-删除的,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-14.wav,10.0,140.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-15.wav,10.0,150.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-16.wav,10.0,160.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-17.wav,10.0,170.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-18.wav,10.0,180.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-19.wav,10.0,190.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-20.wav,10.0,200.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-21.wav,10.0,210.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-22.wav,10.0,220.0
TS-师生互动,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-23.wav,10.0,230.0
happy-喜悦,D:\360安全浏览器下载\speech-emotion-recognition-master\speech-emotion-recognition-master\dataset\0926\1_1音频\cut_result80917_0755\cut_result80917_0755-24.wav,10.0,240.0
