课程名称,时间,视频编号,情绪标签
"cut_result2c1_20180919_math_3,4",00:26:20,158,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:26:30,159,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:26:40,160,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:26:50,161,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:27:00,162,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:27:10,163,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:27:20,164,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:27:30,165,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:27:40,166,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:27:50,167,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:28:00,168,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:28:10,169,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:28:20,170,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:28:30,171,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:28:40,172,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:28:50,173,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:29:00,174,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:29:10,175,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:29:20,176,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:29:30,177,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:29:40,178,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:29:50,179,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:30:00,180,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:30:10,181,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:30:20,182,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:30:30,183,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:30:40,184,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:30:50,185,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:31:00,186,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:31:10,187,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:31:20,188,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:31:30,189,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:31:40,190,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:31:50,191,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:32:00,192,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:32:10,193,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:32:20,194,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:32:30,195,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:32:40,196,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:32:50,197,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:33:00,198,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:33:10,199,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:33:20,200,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:33:30,201,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:33:40,202,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:33:50,203,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:34:00,204,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:34:10,205,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:34:20,206,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:34:30,207,surprised-惊讶
"cut_result2c1_20180919_math_3,4",00:34:40,208,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:34:50,209,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:35:00,210,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:35:10,211,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:35:20,212,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:35:30,213,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:35:40,214,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:35:50,215,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:36:00,216,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:36:10,217,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:36:20,218,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:36:30,219,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:36:40,220,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:36:50,221,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:37:00,222,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:37:10,223,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:37:20,224,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:37:30,225,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:37:40,226,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:37:50,227,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:38:00,228,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:38:10,229,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:38:20,230,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:38:30,231,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:38:40,232,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:38:50,233,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:39:00,234,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:39:10,235,surprised-惊讶
"cut_result2c1_20180919_math_3,4",00:39:20,236,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:39:30,237,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:39:40,238,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:39:50,239,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:40:00,240,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:40:10,241,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:40:20,242,surprised-惊讶
"cut_result2c1_20180919_math_3,4",00:40:30,243,surprised-惊讶
"cut_result2c1_20180919_math_3,4",00:40:40,244,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:40:50,245,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:41:00,246,angry-愤怒
"cut_result2c1_20180919_math_3,4",00:41:10,247,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:41:20,248,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:41:30,249,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:41:40,250,angry-愤怒
"cut_result2c1_20180919_math_3,4",00:41:50,251,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:42:00,252,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:42:10,253,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:42:20,254,angry-愤怒
"cut_result2c1_20180919_math_3,4",00:42:30,255,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:42:40,256,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:42:50,257,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:43:00,258,surprised-惊讶
"cut_result2c1_20180919_math_3,4",00:43:10,259,angry-愤怒
"cut_result2c1_20180919_math_3,4",00:43:20,260,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:43:30,261,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:43:40,262,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:43:50,263,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:44:00,264,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:44:10,265,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:44:20,266,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:44:30,267,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:44:40,268,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:44:50,269,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:45:00,270,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:45:10,271,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:45:20,272,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:45:30,273,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:45:40,274,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:45:50,275,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:46:00,276,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:46:10,277,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:46:20,278,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:46:30,279,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:46:40,280,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:46:50,281,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:47:00,282,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:47:10,283,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:47:20,284,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:47:30,285,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:47:40,286,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:47:50,287,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:48:00,288,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:48:10,289,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:48:20,290,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:48:30,291,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:48:40,292,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:48:50,293,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:49:00,294,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:49:10,295,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:49:20,296,Delate-删除的
"cut_result2c1_20180919_math_3,4",00:49:30,297,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:49:40,298,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:49:50,299,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:50:00,300,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:50:10,301,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:50:20,302,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:50:30,303,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:50:40,304,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:50:50,305,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:51:00,306,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:51:10,307,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:51:20,308,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:51:30,309,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:51:40,310,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:51:50,311,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:52:00,312,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:52:10,313,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:52:20,314,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:52:30,315,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:52:40,316,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:52:50,317,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:53:00,318,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:53:10,319,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:53:20,320,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:53:30,321,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:53:40,322,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:53:50,323,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:54:00,324,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:54:10,325,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:54:20,326,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:54:30,327,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:54:40,328,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:54:50,329,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:55:00,330,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:55:10,331,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:55:20,332,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:55:30,333,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:55:40,334,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:55:50,335,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:56:00,336,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:56:10,337,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:56:20,338,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:56:30,339,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:56:40,340,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:56:50,341,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:57:00,342,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:57:10,343,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:57:20,344,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:57:30,345,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:57:40,346,TS-师生互动
"cut_result2c1_20180919_math_3,4",00:57:50,347,angry-愤怒
"cut_result2c1_20180919_math_3,4",00:58:00,348,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:58:10,349,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:58:20,350,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:58:30,351,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:58:40,352,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:58:50,353,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:59:00,354,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:59:10,355,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:59:20,356,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:59:30,357,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:59:40,358,happy-喜悦
"cut_result2c1_20180919_math_3,4",00:59:50,359,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:00:00,360,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:00:10,361,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:00:20,362,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:00:30,363,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:00:40,364,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:00:50,365,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:01:00,366,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:01:10,367,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:01:20,368,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:01:30,369,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:01:40,370,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:01:50,371,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:02:00,372,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:02:10,373,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:02:20,374,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:02:30,375,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:02:40,376,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:02:50,377,disgust-厌恶蔑视
"cut_result2c1_20180919_math_3,4",01:03:00,378,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:03:10,379,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:03:20,380,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:03:30,381,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:03:40,382,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:03:50,383,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:04:00,384,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:04:10,385,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:04:20,386,TS-师生互动
"cut_result2c1_20180919_math_3,4",01:04:30,387,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:04:40,388,happy-喜悦
"cut_result2c1_20180919_math_3,4",01:04:50,389,happy-喜悦
