课程名称,时间,视频编号,情绪标签
cut_result2c1_20180918_math_1,00:07:40,46,happy-喜悦
cut_result2c1_20180918_math_1,00:07:50,47,Delate-删除的
cut_result2c1_20180918_math_1,00:08:00,48,happy-喜悦
cut_result2c1_20180918_math_1,00:08:10,49,TS-师生互动
cut_result2c1_20180918_math_1,00:08:20,50,happy-喜悦
cut_result2c1_20180918_math_1,00:08:30,51,happy-喜悦
cut_result2c1_20180918_math_1,00:08:40,52,happy-喜悦
cut_result2c1_20180918_math_1,00:08:50,53,happy-喜悦
cut_result2c1_20180918_math_1,00:09:00,54,happy-喜悦
cut_result2c1_20180918_math_1,00:09:10,55,happy-喜悦
cut_result2c1_20180918_math_1,00:09:20,56,TS-师生互动
cut_result2c1_20180918_math_1,00:09:30,57,happy-喜悦
cut_result2c1_20180918_math_1,00:09:40,58,happy-喜悦
cut_result2c1_20180918_math_1,00:09:50,59,TS-师生互动
cut_result2c1_20180918_math_1,00:10:00,60,TS-师生互动
cut_result2c1_20180918_math_1,00:10:10,61,happy-喜悦
cut_result2c1_20180918_math_1,00:10:20,62,Delate-删除的
cut_result2c1_20180918_math_1,00:10:30,63,happy-喜悦
cut_result2c1_20180918_math_1,00:10:40,64,happy-喜悦
cut_result2c1_20180918_math_1,00:10:50,65,happy-喜悦
cut_result2c1_20180918_math_1,00:11:00,66,happy-喜悦
cut_result2c1_20180918_math_1,00:11:10,67,happy-喜悦
cut_result2c1_20180918_math_1,00:11:20,68,TS-师生互动
cut_result2c1_20180918_math_1,00:11:30,69,Delate-删除的
cut_result2c1_20180918_math_1,00:11:40,70,TS-师生互动
cut_result2c1_20180918_math_1,00:11:50,71,Delate-删除的
cut_result2c1_20180918_math_1,00:12:00,72,TS-师生互动
cut_result2c1_20180918_math_1,00:12:10,73,disgust-厌恶蔑视
cut_result2c1_20180918_math_1,00:12:20,74,TS-师生互动
cut_result2c1_20180918_math_1,00:12:30,75,Delate-删除的
cut_result2c1_20180918_math_1,00:12:40,76,Delate-删除的
cut_result2c1_20180918_math_1,00:12:50,77,happy-喜悦
cut_result2c1_20180918_math_1,00:13:00,78,Delate-删除的
cut_result2c1_20180918_math_1,00:13:10,79,happy-喜悦
cut_result2c1_20180918_math_1,00:13:20,80,Delate-删除的
cut_result2c1_20180918_math_1,00:13:30,81,happy-喜悦
cut_result2c1_20180918_math_1,00:13:40,82,happy-喜悦
cut_result2c1_20180918_math_1,00:13:50,83,TS-师生互动
cut_result2c1_20180918_math_1,00:14:00,84,TS-师生互动
cut_result2c1_20180918_math_1,00:14:10,85,TS-师生互动
cut_result2c1_20180918_math_1,00:14:20,86,happy-喜悦
cut_result2c1_20180918_math_1,00:14:30,87,happy-喜悦
cut_result2c1_20180918_math_1,00:14:40,88,happy-喜悦
cut_result2c1_20180918_math_1,00:14:50,89,happy-喜悦
cut_result2c1_20180918_math_1,00:15:00,90,TS-师生互动
